url,price,address,images,date
https://www.kijiji.ca/v-house-for-sale/mississauga-peel-region/detached-home-in-brampton-for-699k-great-investment-location/1321374116,"$699,000.00","58 Glenmanor Dr, Brampton, ON L6Z 3Z1, Canada","[['https://i.ebayimg.com/00/s/MzYwWDQ4MA==/z/JdUAAOSwCJxaNocl/$_59.JPG'], ['https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/VRwAAOSwW6BaNocn/$_59.JPG'], ['https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/CW8AAOSw9hdaNocp/$_59.JPG'], ['https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/LKcAAOSwYc5aNocq/$_59.JPG']]","December 28, 2017 12:10 AM"
https://www.kijiji.ca/v-house-for-sale/mississauga-peel-region/2016-built-gorgeous-semi-detached-house-in-brampton/1321372057,"$799,000.00","53 Edinburgh Dr, Brampton, ON L6Y 0C3, Canada","[['https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/mT8AAOSwAaJaNoT4/$_59.JPG'], ['https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/B7AAAOSwGzhaNoT5/$_59.JPG'], ['https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/pVYAAOSwbtNaNoT7/$_59.JPG'], ['https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/7Q8AAOSw-olaNoT9/$_59.JPG']]","December 21, 2017 12:15 PM"
https://www.kijiji.ca/v-house-for-sale/mississauga-peel-region/buy-a-house-with-0-down/1087917739,Price not present,"Mississauga, ON, Canada",[['https://i.ebayimg.com/00/s/MjAwWDMwMA==/z/jQkAAOSwu4BVqCDU/$_59.JPG']],"January 19, 2018 7:21 PM"
https://www.kijiji.ca/v-house-for-sale/mississauga-peel-region/fully-upgraded-beautiful-3-level-back-split-in-brampton/1327597666,"$499,000.00",", Brampton  L6V1Y8 ON, Canada","[['https://i.ebayimg.com/00/s/NDI2WDY0MA==/z/d7YAAOSws0JaYRrF/$_59.JPG'], ['https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/t8kAAOSwkrFaYRrE/$_59.JPG'], ['https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/R0IAAOSwkvdaYRq~/$_59.JPG'], ['https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/g68AAOSw4QdaYRrB/$_59.JPG']]","January 18, 2018 10:08 PM"
https://www.kijiji.ca/v-house-for-sale/mississauga-peel-region/gorgeous-detached-home-for-sale-in-brampton/1326155866,"$724,900.00",", Brampton L7A0Y2 ON, Canada","[['https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/HvoAAOSwU91aV~AC/$_59.JPG'], ['https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/xi8AAOSwrslaV~AE/$_59.JPG'], ['https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/hRYAAOSw8vNaV~AG/$_59.JPG'], ['https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/FwcAAOSw5KtaV~AI/$_59.JPG']]","January 20, 2018 11:35 PM"
https://www.kijiji.ca/v-house-for-sale/mississauga-peel-region/bramptons-most-popular-location-of-executive-luxury-towns/1328176811,"$479,900.00","45 Lancewood Crescent, Brampton, ON L6S 5Y5, Canada","[['http://img.youtube.com/vi/5abCKUbZ7Dk/0.jpg'], ['https://i.ebayimg.com/00/s/NDI2WDY0MA==/z/SXwAAOSwQwZaZN3G/$_59.JPG'], ['https://i.ebayimg.com/00/s/NDI2WDY0MA==/z/NLIAAOSwc6JaZN3O/$_59.JPG'], ['https://i.ebayimg.com/00/s/NDI2WDY0MA==/z/~U0AAOSw1zhaZN3W/$_59.JPG']]","January 21, 2018 6:38 PM"
https://www.kijiji.ca/v-house-for-sale/mississauga-peel-region/detach-home-for-sale-at-brampton/1328176431,"$990,000.00",", L6R5T8 L5B 2G6 ON, Canada","[['https://i.ebayimg.com/00/s/NDI2WDY0MA==/z/fuAAAOSwn9VaZN3F/$_59.JPG'], ['https://i.ebayimg.com/00/s/NDI2WDY0MA==/z/aLQAAOSwkV5aZN3L/$_59.JPG'], ['https://i.ebayimg.com/00/s/NDI2WDY0MA==/z/x6cAAOSwVLRaZN3R/$_59.JPG'], ['https://i.ebayimg.com/00/s/NDI2WDY0MA==/z/z-IAAOSwDApaZN3X/$_59.JPG']]","January 21, 2018 6:37 PM"
https://www.kijiji.ca/v-house-for-sale/mississauga-peel-region/executive-home-at-creditview-rd-brampton/1328168055,"$1,899,900.00",", brampton l6y2x8 ON, Canada","[['https://i.ebayimg.com/00/s/NTMzWDgwMA==/z/NakAAOSwQwZaZNYr/$_59.JPG'], ['https://i.ebayimg.com/00/s/NTMzWDgwMA==/z/n5YAAOSw5ZtaZNYw/$_59.JPG'], ['https://i.ebayimg.com/00/s/NTMzWDgwMA==/z/qKkAAOSw1GlaZNY1/$_59.JPG'], ['https://i.ebayimg.com/00/s/NTMzWDgwMA==/z/OJcAAOSwLs9aZNY7/$_59.JPG']]","January 21, 2018 6:05 PM"
https://www.kijiji.ca/v-house-for-sale/city-of-toronto/do-you-need-fixer-upper-50-000-200-000-below-market-value/1328161755,Price not present,"Toronto Pearson International Airport (YYZ), 6301 Silver Dart Dr, Mississauga, ON L5P 1B2, Canada","[['http://img.youtube.com/vi/PPdfZqbzDh0/0.jpg'], ['https://i.ebayimg.com/00/s/MjcwWDU0MA==/z/jIQAAOSw9qJaZNDU/$_59.JPG']]","January 21, 2018 5:42 PM"
https://www.kijiji.ca/v-house-for-sale/city-of-toronto/new-royal-pine-home-in-vales-of-humber-brampton/1328158603,Price not present,", Brampton L6P 4H3 ON, Canada","[['https://i.ebayimg.com/00/s/NTMzWDgwMA==/z/dgkAAOSwsZJaZM4F/$_59.JPG'], ['https://i.ebayimg.com/00/s/NTMzWDgwMA==/z/nnYAAOSwALhaZM4I/$_59.JPG'], ['https://i.ebayimg.com/00/s/NTMzWDgwMA==/z/m0cAAOSwm~daZM4M/$_59.JPG'], ['https://i.ebayimg.com/00/s/NTMzWDgwMA==/z/Ab4AAOSw4DxaZM4P/$_59.JPG']]","January 21, 2018 5:30 PM"
